📦 세트구성_매핑.xlsx 내용:

             세트바코드                                      구성품명         구성품바코드  수량         등록일         수정일
90   LE100S1001003                  미니멀러그_오프화이트_사각_1500x2000  R008535120010   1  2026-04-13  2026-04-13
91   LE100S1001003                    미니멀러그_오프화이트_반원_480x800  LE10000001018   1  2026-04-13  2026-04-13
92   LE100S1002001                    미니멀러그_브라운_사각_2000x3000  LE10000002006   1  2026-04-13  2026-04-13
93   LE100S1002001                    미니멀러그_브라운_사각_1500x2000  LE10000002004   1  2026-04-13  2026-04-13
94   LE100S1002001                      미니멀러그_브라운_반원_480x800  LE10000002018   1  2026-04-13  2026-04-13
95   LE100S1002002                    미니멀러그_브라운_사각_2000x3000  LE10000002006   1  2026-04-13  2026-04-13
96   LE100S1002002                      미니멀러그_브라운_반원_480x800  LE10000002018   1  2026-04-13  2026-04-13
97   LE100S1002003                    미니멀러그_브라운_사각_1500x2000  LE10000002004   1  2026-04-13  2026-04-13
98   LE100S1002003                      미니멀러그_브라운_반원_480x800  LE10000002018   1  2026-04-13  2026-04-13
99   LE100S1003001                    미니멀러그_그레이_사각_2000x3000  LE10000003006   1  2026-04-13  2026-04-13
100  LE100S1003001                    미니멀러그_그레이_사각_1500x2000  LE10000003004   1  2026-04-13  2026-04-13
101  LE100S1003001                      미니멀러그_그레이_반원_480x800  LE10000003018   1  2026-04-13  2026-04-13
102  LE100S1003002                    미니멀러그_그레이_사각_2000x3000  LE10000003006   1  2026-04-13  2026-04-13
103  LE100S1003002                      미니멀러그_그레이_반원_480x800  LE10000003018   1  2026-04-13  2026-04-13
104  LE100S1003003                    미니멀러그_그레이_사각_1500x2000  LE10000003004   1  2026-04-13  2026-04-13
105  LE100S1003003                      미니멀러그_그레이_반원_480x800  LE10000003018   1  2026-04-13  2026-04-13
106  LE100S1004001                    미니멀러그_블루문_사각_2000x3000  LE10000004006   1  2026-04-13  2026-04-13
107  LE100S1004001                    미니멀러그_블루문_사각_1500x2000  LE10000004004   1  2026-04-13  2026-04-13
108  LE100S1004001                      미니멀러그_블루문_반원_480x800  LE10000004018   1  2026-04-13  2026-04-13
109  LE100S1004002                    미니멀러그_블루문_사각_2000x3000  LE10000004006   1  2026-04-13  2026-04-13
110  LE100S1004002                      미니멀러그_블루문_반원_480x800  LE10000004018   1  2026-04-13  2026-04-13
111  LE100S1004003                    미니멀러그_블루문_사각_1500x2000  LE10000004004   1  2026-04-13  2026-04-13
112  LE100S1004003                      미니멀러그_블루문_반원_480x800  LE10000004018   1  2026-04-13  2026-04-13
113  LE100S1005001                    미니멀러그_딥블랙_사각_2000x3000  LE10000005006   1  2026-04-13  2026-04-13
114  LE100S1005001                    미니멀러그_딥블랙_사각_1500x2000  LE10000005004   1  2026-04-13  2026-04-13
